Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
71,2001,NBA,1,10,BOS,Joe Johnson\johnsjo02,20.003,G-F,us,Arkansas,2002,2018,1276,34.7,16.0,4.0,3.9,0.8,0.2,.441,.472,.371,.802,82.8,.090
72,1996,NBA,1,14,SAC,Peja Stojaković\stojape01,19.022,F-G,hr,,1999,2011,804,33.5,17.0,4.7,1.8,0.9,0.1,.450,.484,.401,.895,82.6,.147
73,1996,NBA,1,2,TOR,Marcus Camby\cambyma01,22.102,C-F,us,UMass,1997,2013,973,29.5,9.5,9.8,1.9,1.0,2.4,.466,.469,.205,.670,81.6,.137
74,2001,NBA,1,19,POR,Zach Randolph\randoza01,19.351,F-C,us,Michigan State,2002,2018,1116,31.0,16.6,9.1,1.8,0.7,0.3,.471,.481,.273,.764,81.1,.112
75,2002,NBA,2,35,CLE,Carlos Boozer\boozeca01,20.223,F-C,de,Duke,2003,2015,861,31.2,16.2,9.5,2.2,0.9,0.4,.521,.522,.071,.722,80.3,.143
76,2007,NBA,2,48,LAL,Marc Gasol\gasolma01,22.155,C,es,,2009,2019,795,33.4,15.0,7.7,3.4,0.9,1.5,.483,.498,.350,.777,79.5,.144
77,1988,NBA,1,5,GSW,Mitch Richmond\richmmi01,23.004,G,us,Kansas State,1989,2002,976,35.2,21.0,3.9,3.5,1.2,0.3,.455,.474,.388,.850,79.3,.111
78,1988,NBA,1,14,PHO,Dan Majerle\majerda01,22.298,G-F,us,Central Michigan University,1989,2002,955,31.6,11.4,4.5,2.9,1.3,0.4,.431,.482,.358,.741,78.5,.125
79,2008,NBA,1,5,MEM,Kevin Love\loveke01,19.297,F,us,UCLA,2009,2019,657,32.0,18.3,11.3,2.3,0.7,0.5,.442,.477,.370,.827,78.2,.179
80,1996,NBA,1,4,MIL,Stephon Marbury\marbust01,19.131,G,us,Georgia Tech,1997,2009,846,37.7,19.3,3.0,7.6,1.2,0.1,.433,.465,.325,.784,77.5,.117
